"No.","CVEGEO_MUN","NOM_MUN","Clave.de.Obra","Informe.de.Gobierno","Periodo","Región","Subclasificación","Rubro","Macrorregión","Ejercicio","Obra","Municipio","Localidad","Inversión","Avance","Habitantes.beneficiados","Ejecutora","Origen","Meta","Trabajos","X20","X21","name","POB1","POBS","loc_lim","municipios_original"
337,13026,"Huazalingo",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","IV Huejutla de Reyes","Alcantarillado sanitario","Infraestructura Hídrica","Macrorregión 4. Huejutla",2022,"Construcción de sanitario con biodigestor, en el municipio de Huazalingo","Huazalingo","Varias",2940289.92,"1",NA,"SIPDUS","OBRAS SEP 2022 - JUNIO 2023",NA,"Considera los trabajos instalación hidráulica, instalación eléctrica, instalación de biodigestor, acabados y albañilería, excavación de biodigestor.",172,NA,"Municipio_1",12766,12766,"varias","Huazalingo"
338,13026,"Huazalingo",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","IV Huejutla de Reyes","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2022,"Construcción de Cuarto Dormitorio, en el municipio de Huazalingo","Huazalingo","Varias",3080084.47,"1",NA,"DGIVC","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",120,NA,"Municipio_1",12766,12766,"varias","Huazalingo"
339,13026,"Huazalingo",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","IV Huejutla de Reyes","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2022,"Construcción de 40 cuartos dormitorio en los municipios de San Felipe Orizatlán, Tepehuacán de Guerrero y Huazalingo","Huazalingo","Amola de Ocampo,Barr Ayoco,Barrio Allende,Barrio Arriba,Barrio la Paz,Barrio Panteón,Choquintla (San Nicolás Choquintla),Colonia Centro,Colonia Guillermo Rossell,Colonia Paraíso,El Centro,El Llano,El Paraíso,Quinta Las Delicias",690671.685139588,"1",NA,"CEVI","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",160,NA,"Municipio_1",12766,82493,"amola de ocampo,barr ayoco,barrio allende,barrio arriba,barrio la paz,barrio panteon,choquintla (san nicolas choquintla),colonia centro,colonia guillermo rossell,colonia paraiso,el centro,el llano,el paraiso,quinta las delicias","Huazalingo,San Felipe Orizatlán,Tepehuacán de Guerrero"
340,13027,"Huehuetla",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","II Tulancingo de Bravo","Vivienda Asequible","Vivienda Asequible","Macrorregión 3. Tulancingo",2023,"Programa para la ampliación de  vivienda modalidad construcción de cuarto dormitorio en los municipios de Huehuetla","Huehuetla","Acuautla,San Antonio El Grande",1279635.52,"1",10,"CEVI","Innovación",NA,"Modalidad ampliación de vivienda para la construcción de cuarto dormitorio en terreno del beneficiario.",NA,NA,"Municipio_1",22846,22846,"acuautla,san antonio el grande","Huehuetla"
348,13027,"Huehuetla",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","II Tulancingo de Bravo","Vivienda Asequible","Vivienda Asequible","Macrorregión 3. Tulancingo",2022,"Construcción de Cuarto Dormitorio, en el municipio de Huehuetla","Huehuetla","Varias",3013545.5,"1",NA,"DGIVC","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",116,NA,"Municipio_1",22846,22846,"varias","Huehuetla"
349,13027,"Huehuetla",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","Cobertura Estatal","Calidad del agua","Infraestructura Hídrica","Macrorregión 3. Tulancingo",2022,"Acciones de desinfección del agua: 379 filtro purificador microbiológico de agua para beber.","Huehuetla","Varias",353423.715685062,"1",NA,"CEAA","OBRAS SEP 2022 - JUNIO 2023",NA,"Realizar análisis de las características físico-químicas del agua ,con el ﬁn de conocer su calidad, detectar contaminantes presentes en el agua y veriﬁcar que se cumpla con la normatividad vigente para uso y consumo humano. Así mismo, se apoya a los municipios a prevenir el surgimiento de enfermedades por  contaminación del agua.",1568,NA,"Municipio_1",22846,105151,"varias","Huehuetla,Jaltocán,La Misión,Pacula,Pisaflores,San Felipe Orizatlán"
354,13028,"Huejutla de Reyes","2024/A028","2do. Informe JMS","septiembre 2023-agosto 2024","IV Huejutla de Reyes","Caminos Pavimentados","Infraestructura Carretera","Macrorregión 4. Huejutla",2024,"Construye Tu Camino del tramo Santa Clara a Axcaco, en el municipio de Huejutla de Reyes","Huejutla de Reyes","Axcaco, La Mesa de Axcaco",3722586.38,"0.32",NA,"DGCCE","Cartera SIPDUS 2032",0.381,"Considera los trabajos de construcción de huellas de concreto hidráulico y empedrado en la localidad, el cual consta de terracerías y pisos de concreto.",1085,NA,"Municipio_1",126781,126781,"axcaco, la mesa de axcaco","Huejutla de Reyes"
385,13028,"Huejutla de Reyes","2024/C059","2do. Informe JMS","septiembre 2023-agosto 2024","IV Huejutla de Reyes","Alcantarillado Sanitario","Infraestructura Hídrica","Macrorregión 4. Huejutla",2024,"Construcción de sanitario con biodigestor en el municipio de Huejutla de Reyes","Huejutla de Reyes","Varias",1567739.63,"1",NA,"DGCCE","Externa SIPDUS",NA,"Considera los trabajos instalación hidráulica, instalación eléctrica, instalación de biodigestor, acabados y albañilería, excavación de biodigestor.",20,NA,"Municipio_1",126781,126781,"varias","Huejutla de Reyes"
396,13029,"Huichapan",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","XI Huichapan","Vivienda Asequible","Vivienda Asequible","Macrorregión 2. Tula",2022,"Construcción de Cuarto Dormitorio, en el municipio de Huichapan","Huichapan","Varias",1334325.77,"1",NA,"DGCCE","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",56,NA,"Municipio_1",47425,47425,"varias","Huichapan"
397,13030,"Ixmiquilpan",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","VIII Ixmiquilpan","Vivienda Asequible","Vivienda Asequible","Macrorregión 5. Ixmiquilpan",2023,"Programa para la ampliación de  vivienda modalidad construcción de cuarto dormitorio en los municipios de Ixmiquilpan y Chilcuautla","Ixmiquilpan","Álamo,Ixmiquilpan,Las Emes",2064509.87,"1",NA,"CEVI","Innovación",NA,"Modalidad ampliación de vivienda para la construcción de cuarto dormitorio en terreno del beneficiario.",16,NA,"Municipio_1",98654,98654,"alamo,ixmiquilpan,las emes","Ixmiquilpan"
399,13030,"Ixmiquilpan",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","VIII Ixmiquilpan","Vivienda Asequible","Vivienda Asequible","Macrorregión 5. Ixmiquilpan",2024,"Construcción de cuartos dormitorios en el municipio de Ixmiquilpan","Ixmiquilpan","Bangandhó, Capula, La Huerta Capula,  Nequeteje",1058251.2,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",32,NA,"Municipio_1",98654,98654,"bangandho, capula, la huerta capula, nequeteje","Ixmiquilpan"
402,13030,"Ixmiquilpan",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","VIII Ixmiquilpan","Vivienda Asequible","Vivienda Asequible","Macrorregión 5. Ixmiquilpan",2023,"Construcción de 36 cuartos dormitorio en el municipio de Ixmiquilpan y Santiago de Anaya","Ixmiquilpan","Cerritos,El Alberto,El Barrido,El Durazno,El Mandho,Ixmiquilpan,La Estación,La Loma,Paredes",4606395.38,"1",NA,"CEVI","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",144,NA,"Municipio_1",98654,98654,"cerritos,el alberto,el barrido,el durazno,el mandho,ixmiquilpan,la estacion,la loma,paredes","Ixmiquilpan"
452,13030,"Ixmiquilpan",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","VIII Ixmiquilpan","Sistema de agua potable","Infraestructura Hídrica","Macrorregión 5. Ixmiquilpan",2023,"Red de agua potable El Mirador, Jahuey y Huapilla Capula.","Ixmiquilpan","Varias",10624130.95,"1",NA,"CEAA","Extraordinario de la CEAA",NA,"Considera los trabajos de instalación de tubería, rellenos con material producto de excavación, prueba de la tubería en la comunidad.",2051,NA,"Municipio_1",98654,98654,"varias","Ixmiquilpan"
453,13030,"Ixmiquilpan",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","VIII Ixmiquilpan","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Macrorregión 5. Ixmiquilpan",2023,"Rehabilitación de la carretera paso por Ixmiquilpan.","Ixmiquilpan","Varias",27009792.9,"1",NA,"DGOPI","Innovación 2024",15.2,"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Varias municipio de Ixmiquilpan",37608,NA,"Municipio_1",98654,98654,"varias","Ixmiquilpan"
454,13030,"Ixmiquilpan","2024/C471","2do. Informe JMS","septiembre 2023-agosto 2024","VIII Ixmiquilpan","Vialidades Urbanas","Vialidades Urbanas","Macrorregión 5. Ixmiquilpan",2024,"Construcción de pavimentación de concreto hidráulico de Calle Gladiolas, Col. Loma de Oro, en el municipio de Ixmiquilpan.","Ixmiquilpan","Varias",1584150.4,"0.92",NA,"DGCCE","Cartera SIPDUS 2024",0.17,"Considera los trabajos de preliminares, riego de impregnación, piso para pavimento de concreto hidráulico.",384,NA,"Municipio_1",98654,98654,"varias","Ixmiquilpan"
463,13031,"Jacala de Ledezma",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","XII Jacala de Ledezma","Vivienda Asequible","Vivienda Asequible","Macrorregión 5. Ixmiquilpan",2024,"Construcción de cuartos dormitorios en el municipio de Jacala de Ledezma","Jacala de Ledezma","Octupilla, Quetzalapa, San Nicolás, Vado Hondo",1196202.61,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",32,NA,"Municipio_1",12290,12290,"octupilla, quetzalapa, san nicolas, vado hondo","Jacala de Ledezma"
473,13032,"Jaltocán",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","IV Huejutla de Reyes","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2022,"Construcción de cuarto dormitorio, en el municipio de Jaltocán","Jaltocán","Varias",817874.33,"1",NA,"DGCCE","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",32,NA,"Municipio_1",10523,10523,"varias","Jaltocán"
483,13040,"La Misión",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","XII Jacala de Ledezma","Vivienda Asequible","Vivienda Asequible","Macrorregión 5. Ixmiquilpan",2024,"Construcción de cuartos dormitorios en el municipio de La Misión","La Misión","El Nogalito, El Roa, La Hondura, La Misión, La Palizada, Las Pilas, Loma de Pericón, Loma de Pilas, Macanguí, Mesa de Pilas",1494498,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",40,NA,"Municipio_1",9819,9819,"el nogalito, el roa, la hondura, la mision, la palizada, las pilas, loma de pericon, loma de pilas, macangui, mesa de pilas","La Misión"
492,13040,"La Misión",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","XII Jacala de Ledezma","Vivienda Asequible","Vivienda Asequible","Macrorregión 5. Ixmiquilpan",2022,"Construcción de Cuarto Dormitorio, en el municipio de La Misión","La Misión","Varias",1628199.97,"1",NA,"DGCCE","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",64,NA,"Municipio_1",9819,9819,"varias","La Misión"
493,13040,"La Misión",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","XII Jacala de Ledezma","Alcantarillado sanitario","Infraestructura Hídrica","Macrorregión 5. Ixmiquilpan",2022,"Construcción de Sanitario con Biodigestor, en el municipio de La Misión","La Misión","Varias",761098.43,"1",NA,"SIPDUS","OBRAS SEP 2022 - JUNIO 2023",NA,"Considera los trabajos instalación hidráulica, instalación eléctrica, instalación de biodigestor, acabados y albañilería, excavación de biodigestor.",44,NA,"Municipio_1",9819,9819,"varias","La Misión"
504,13034,"Lolotla",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","IV Huejutla de Reyes","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2022,"Construcción de Cuarto Dormitorio, en el municipio de Lolotla","Lolotla","Varias",4276199.76,"1",NA,"DGCCE","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",168,NA,"Municipio_1",9474,9474,"varias","Lolotla"
505,13034,"Lolotla","2024/C487","2do. Informe JMS","septiembre 2023-agosto 2024","IV Huejutla de Reyes","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Macrorregión 4. Huejutla",2024,"Rehabilitación de camino Cuatitlanapa a La Unión, del km 0.000 al km 6.000, en el municipio de Lolotla.","Lolotla","Varias",4705390.24,"0.65",NA,"DGOPI","Cartera SIPDUS 2024",6,"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Varias municipio de Lolotla",770,NA,"Municipio_1",9474,9474,"varias","Lolotla"
506,13034,"Lolotla","2024/C587","3er. Informe JMS","septiembre 2024-agosto 2025","IV Huejutla de Reyes","Caminos revestidos","Infraestructura Carretera","Macrorregión 4. Huejutla",2024,"Rehabilitación de camino Xuchitlan a Cuatitlanapa, en el municipio de Lolotla.","Lolotla","Varias",3150684.36,"0.77",NA,"DGOPI","Cartera SIPDUS 2024",4,"Considera los trabajos de preliminares, revestimiento de camino enel municipio de Lolotla",939,NA,"Municipio_1",9474,9474,"varias","Lolotla"
524,13037,"Metztitlán",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","IX Zacualtipán de Ángeles","Vialidades Urbanas","Vialidades Urbanas","Macrorregión 4. Huejutla",2023,"Construcción de Pavimentación Hidráulica en Calle Temazola, en el municipio de Metztitlán.","Metztitlán","Varias",2985794.92,"1",NA,"DGOPI","Innovación a Junio 2024",0.35,"Considera los trabajos de preliminares, piso para pavimento de concreto hidráulico.",3274,NA,"Municipio_1",20962,20962,"varias","Metztitlán"
527,13037,"Metztitlán",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","IX Zacualtipán de Ángeles","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2022,"Construcción de 31 cuartos dormitorio en los municipios de Metztitlán y Zacualtipán de Ángeles","Metztitlán","Barr.tlaxomotl,Barrio Coatlán,Barrio El Tepeyac,Cacala,Ciudad 13 de Septiembre,Colonia 11 de Abril (El Depósito Viejo),Colonia la Campesina,Colonia la Joya,Colonia la Mesa,Colonia la Otra Banda,Colonia Santa Cecilia,Colonia Zamora,San Marcos",1220099.39928075,"1",NA,"CEVI","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",124,NA,"Municipio_1",20962,59117,"barr.tlaxomotl,barrio coatlan,barrio el tepeyac,cacala,ciudad 13 de septiembre,colonia 11 de abril (el deposito viejo),colonia la campesina,colonia la joya,colonia la mesa,colonia la otra banda,colonia santa cecilia,colonia zamora,san marcos","Metztitlán,Zacualtipán de Ángeles"
554,13051,"Mineral de la Reforma",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","V Mineral de la Reforma","Alcantarillado sanitario","Infraestructura Hídrica","Macrorregión 1. Pachuca",2022,"Inversión de 518 mil pesos en ampliación de red de drenaje sanitario, en Avenida Real de Minas, Santa María la Calera, municipio de Mineral de la Reforma.","Mineral de la Reforma","Mineral de la Reforma",518587.4,"1",NA,"CAASIM","OBRAS SEP 2022 - JUNIO 2023 52 MDP CAASIM",NA,"Considera los trabajos de excavaciones y rellenos, descargas domiciliarias, pozos de visita, red de drenaje.",4998,NA,"Municipio_1",202749,202749,"mineral de la reforma","Mineral de la Reforma"
555,13051,"Mineral de la Reforma",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","V Mineral de la Reforma","Líneas de distribución","Infraestructura Hídrica","Macrorregión 1. Pachuca",2023,"Sustitución de línea de distribución por gravedad de agua potable de 12"" de diámetro, tramo tanque CONALEP a calle sin nombre, atrás del fraccionamiento el Paraíso, municipio de Mineral de la Reforma, Hidalgo.","Mineral de la Reforma","Mineral de la Reforma",2072713.31,"1",NA,"CAASIM","PRESUPUESTO 2023 CAASIM",NA,"Considera los trabajos de preliminares, piso para pavimento de concreto hidráulico.",1877,NA,"Municipio_1",202749,202749,"mineral de la reforma","Mineral de la Reforma"
556,13051,"Mineral de la Reforma",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","V Mineral de la Reforma","Pozo nuevo","Infraestructura Hídrica","Macrorregión 1. Pachuca",2023,"Perforación y equipamiento electromécanico en sustitución del pozo 3 Téllez, Municipio de Mineral de la Reforma, Hidalgo.","Mineral de la Reforma","Mineral de la Reforma",16585984.87,"1",NA,"CAASIM","PRESUPUESTO 2023 CAASIM",NA,"Considera los trabajos de preliminares, perforación de pozo en la localidad de Mineral de la Reforma municipio de Mineral de la Reforma",24000,NA,"Municipio_1",202749,202749,"mineral de la reforma","Mineral de la Reforma"
557,13051,"Mineral de la Reforma",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","V Mineral de la Reforma","Pozo nuevo","Infraestructura Hídrica","Macrorregión 1. Pachuca",2023,"Perforación y equipamiento electromecánico del pozo ""Providencia IV"" Mineral de la Reforma, Hidalgo.","Mineral de la Reforma","Mineral de la Reforma",1.7e+07,"1",NA,"CAASIM","PRESUPUESTO 2023 CAASIM",NA,"Considera los trabajos de preliminares, perforación de pozo en la localidad de Mineral de la Reforma municipio de Mineral de la Reforma",14011,NA,"Municipio_1",202749,202749,"mineral de la reforma","Mineral de la Reforma"
558,13051,"Mineral de la Reforma",NA,"3er. Informe JMS","septiembre 2024-agosto 2025","V Mineral de la Reforma","Líneas de distribución","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Línea de Interconexión El Dorado","Mineral de la Reforma","Mineral de la Reforma",3627906.82,"Por dictaminar",NA,"CAASIM","Cartera CAASIM 2024 338 mdp",NA,"Considera los trabajos de instalación de tubería, rellenos con material producto de excavación, prueba de la tubería en la comunidad.",9702,NA,"Municipio_1",202749,202749,"mineral de la reforma","Mineral de la Reforma"
562,13051,"Mineral de la Reforma",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","V Mineral de la Reforma","Vivienda Asequible","Vivienda Asequible","Macrorregión 1. Pachuca",2024,"Construcción de cuartos dormitorios en el municipio de Mineral de la Reforma","Mineral de la Reforma","Pachuquilla, San Guillermo La Reforma, Santa María La Calera",1059046.49,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",32,NA,"Municipio_1",202749,202749,"pachuquilla, san guillermo la reforma, santa maria la calera","Mineral de la Reforma"
586,13051,"Mineral de la Reforma",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","V Mineral de la Reforma","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Macrorregión 1. Pachuca",2023,"Reconstrucción de pavimento en el boulevard Nuevo Hidalgo, tramo Distribuidor Colonias - Distribuidor Vial Municipios Unidos - puente El Venado (cuerpo izquierdo).","Mineral de la Reforma","Varias",33843078.56,"1",NA,"DGCCE","Innovación 2024",2.4,"Considera los trabajos de pavimento de concreto hidráulico premezclado, adquisición de mezcla asfáltica en caliente.",6924,NA,"Municipio_1",202749,202749,"varias","Mineral de la Reforma"
587,13051,"Mineral de la Reforma","2024/C407","2do. Informe JMS","septiembre 2023-agosto 2024","V Mineral de la Reforma","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Macrorregión 1. Pachuca",2024,"Reconstrucción de Pavimento en el Boulevard Nuevo Hidalgo tramo Distribuidor Colonias - Distribuidor Vial Municipios Unidos - Puente El Venado (Cuerpo Derecho), en el municipio de Mineral de la Reforma.","Mineral de la Reforma","Varias",67432687.35,"0.98",NA,"DGCCE","Cartera SIPDUS 2024",1.9,"Se realizará la construcción contemplando las siguientes partidas: preliminares, terracerías, estabilización de subbase, base hidráulica, riego de impregnación, pavimento de concreto hidráulico, señalamiento y obras complementarias.",297848,NA,"Municipio_1",202749,202749,"varias","Mineral de la Reforma"
588,13051,"Mineral de la Reforma","2024/C217","2do. Informe JMS","septiembre 2023-agosto 2024","V Mineral de la Reforma","Ordenamiento Territorial","Espacios Públicos","Macrorregión 1. Pachuca",2024,"Rehabilitación y mejoramiento de la imagen urbana en el acceso, Boulevard Everardo Márquez, municipio de Mineral de la Reforma.","Mineral de la Reforma","Varias",37070833.4,"0.95",NA,"DGCCE","Innovación OCTUBRE 2025",NA,"Considera trabajos construcción de guarniciones altas y bajas con concreto hidráulico.",9559,NA,"Municipio_1",202749,202749,"varias","Mineral de la Reforma"
589,13051,"Mineral de la Reforma",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","V Mineral de la Reforma","Pozo rehabilitado y equipados","Infraestructura Hídrica","Macrorregión 1. Pachuca",2022,"Inversión de 5.5 mdp en la adquisición de 10 variadores de velocidad para el mejoramiento al sistema de telemetría en pozos y bombeos de Palma Gorda, Tepeapulco, Tizayuca, Téllez y Matilde","Mineral de la Reforma","Varias",2653921.39731746,"1",NA,"CAASIM","OBRAS SEP 2022 - JUNIO 2023 52 MDP CAASIM",NA,"Considera los trabajos para la rehabilitación y equipamiento de pozo en la localidad de  Varias municipio de Mineral de la Reforma, Tepeapulco, Tizayuca",186071,NA,"Municipio_1",202749,427296,"varias","Mineral de la Reforma,Tepeapulco,Tizayuca"
590,13051,"Mineral de la Reforma",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","V Mineral de la Reforma","Vivienda Asequible","Vivienda Asequible","Macrorregión 1. Pachuca",2022,"Construcción de 16 cuartos dormitorio en los municipios de Mineral de la Reforma y Tepeapulco","Mineral de la Reforma","Amaque,Azoyatla de Ocampo,Col. del Trabajo,Dos Carlos Pueblo Nuevo,La Colonia,Los Cides,Los Reyes,Rio de la Soledad,San Guillermo la Reforma,Santiago Jaltepec",1419870.83191116,"1",NA,"CEVI","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",64,NA,"Municipio_1",202749,258994,"amaque,azoyatla de ocampo,col. del trabajo,dos carlos pueblo nuevo,la colonia,los cides,los reyes,rio de la soledad,san guillermo la reforma,santiago jaltepec","Mineral de la Reforma,Tepeapulco"
617,13041,"Mixquiahuala de Juárez",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","VII Actopan","Pozo rehabilitado y equipados","Infraestructura Hídrica","Macrorregión 2. Tula",2024,"Construcción de cajas de válvulas y equipamiento para la macromedición en derivaciones de líneas de conducción, para las localidades de los Municipios de Mixquiahuala de Juárez y Progreso de Obregón.","Mixquiahuala de Juárez","Varias",930640.911014211,"0.05",NA,"CAASVAM","Cartera CAASVAM 2024",NA,"Considera los trabajos para la rehabilitación y equipamiento de pozo en los municipios de Mixquiahuala de Juárez y Progreso de Obregón",800,NA,"Municipio_1",47222,70863,"varias","Mixquiahuala de Juárez,Progreso de Obregón"
630,13043,"Nicolás Flores",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","VIII Ixmiquilpan","Alcantarillado sanitario","Infraestructura Hídrica","Macrorregión 5. Ixmiquilpan",2023,"Construcción de sistema de alcantarillado sanitario, colectores y emisor para beneficiar a las localidades de Segundo Centro, Cruz de Piedra, y Tedra, en el&#10;municipio de Nicolás Flores, etapa dos de dos.","Nicolás Flores","Segundo Centro, Cruz de Piedra, y Tedra",2075608.21,"1",NA,"CEAA","Extraordinario de la CEAA",NA,"Considera los trabajos de excavaciones y rellenos, descargas domiciliarias, red de alcantarillado.",278,NA,"Municipio_1",6265,6265,"segundo centro, cruz de piedra, y tedra","Nicolás Flores"
631,13043,"Nicolás Flores",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","VIII Ixmiquilpan","Alcantarillado sanitario","Infraestructura Hídrica","Macrorregión 5. Ixmiquilpan",2022,"Construcción de sistema de alcantarillado sanitario, colectores y emisor para beneficiar a las localidades de Segundo Centro, Cruz de Piedra, y Tedra, en el municipio de Nicolás Flores, etapa una de dos.","Nicolás Flores","Segundo Centro, Cruz de Piedra, y Tedra",3449417.49,"1",208,"CEAA","OBRAS SEP 2022 - JUNIO 2023",NA,"Considera los trabajos de excavaciones y rellenos, descargas domiciliarias, red de alcantarillado.",NA,NA,"Municipio_1",6265,6265,"segundo centro, cruz de piedra, y tedra","Nicolás Flores"
632,13043,"Nicolás Flores","2024/C187","3er. Informe JMS","septiembre 2024-agosto 2025","VIII Ixmiquilpan","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Macrorregión 5. Ixmiquilpan",2024,"Construcción de cunetas en vialidad de acceso a Nicolás Flores, en el municipio de Nicolás Flores","Nicolás Flores","Varias",189640.73,"1",NA,"DGOPI","Cartera SIPDUS 2024 sin of. de auto.",0.54,"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Varias municipio de Nicolás Flores",404,NA,"Municipio_1",6265,6265,"varias","Nicolás Flores"
633,13043,"Nicolás Flores","2024/C695","3er. Informe JMS","septiembre 2024-agosto 2025","VIII Ixmiquilpan","Carreteras Construidas y Modernizadas","Infraestructura Carretera","Macrorregión 5. Ixmiquilpan",2024,"Rehabilitación de acceso a Nicolás Flores vía Bocua - Cerro de la Cruz, municipio de Nicolás Flores","Nicolás Flores","Varias",2487969.15,"0.42",NA,NA,NA,0,"Considera los trabajos de revestimiento del camino a Nicolás Flores.",957,NA,"Municipio_1",6265,6265,"varias","Nicolás Flores"
641,13045,"Omitlán de Juárez",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","V Mineral de la Reforma","Vivienda Asequible","Vivienda Asequible","Macrorregión 1. Pachuca",2024,"Construcción de cuartos dormitorios en el municipio de Omitlán de Juárez","Omitlán de Juárez","Cruz de Omitlán, El Mirador, El Resbalón, Morelos, San Antonio El Paso, Santa Elena, Tres Cañadas",2248842.62,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",68,NA,"Municipio_1",9295,9295,"cruz de omitlan, el mirador, el resbalon, morelos, san antonio el paso, santa elena, tres canadas","Omitlán de Juárez"
910,13048,"Pachuca de Soto","2024/C739","2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Dren Pluvial","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Construcción del Dren Pluvial San Antonio - Rio de Las Avenidas, en los municipios de Pachuca de Soto y Mineral de la Reforma.","Pachuca de Soto","Pachuca de Soto, Mineral de la Reforma",68484436.9,"0.02",NA,"DGOPI","Cartera de Proyectos SIPDUS 2024",NA,"Considera los trabajos de obra Inducida, canal Rectangular con Tapa.",297848,NA,"Municipio_1",314331,314331,"pachuca de soto, mineral de la reforma","Pachuca de Soto"
912,13048,"Pachuca de Soto","2024/C567","3er. Informe JMS","septiembre 2024-agosto 2025","III Pachuca de Soto","Infraestructura de Seguridad Pública","Espacios Públicos","Macrorregión 1. Pachuca",2024,"Mejoramiento del Centro Estatal de Evaluación y Control de Confianza","Pachuca de Soto","San José Palma Gorda",663917.18,"0.7456",NA,"CEECC","Externa SIPDUS",NA,"Considera trabajos en infraestructura en Seguridad Pública en el municipio de Pachuca de Soto.",756,NA,"Municipio_1",314331,314331,"san jose palma gorda","Pachuca de Soto"
917,13048,"Pachuca de Soto",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","III Pachuca de Soto","Otros (Adquisiciones, compras, pagos, estudios)","Infraestructura Hídrica","Macrorregión 1. Pachuca",2023,"Reposición de pavimento asfáltico en el Municipio de Pachuca de Soto, Mineral de la Reforma y su zona de influencia de la CAASIM","Pachuca de Soto","Varias",8492998.46,"0",NA,"CAASIM","PRESUPUESTO 2023 CAASIM",NA,"Se ejecutan acciones para la ejecución de obras en Infraestructura hídrica.",297848,NA,"Municipio_1",314331,314331,"varias","Pachuca de Soto"
